City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Pangoa,-12.1167,-73.0,83.59,54,73,4.41,PE,1660414967
Kollam,8.8833,76.6,78.19,86,100,9.82,IN,1660414970
Ponta Delgada,37.7333,-25.6667,77.72,83,20,18.41,PT,1660414972
Chifeng,42.2683,118.9636,70.34,68,52,2.93,CN,1660414974
Grand-Santi,4.25,-54.3833,93.67,36,3,5.37,GF,1660414977
Katangli,51.7102,143.2326,51.93,93,30,3.47,RU,1660414979
Sīra,13.7453,76.9092,72.39,72,100,11.63,IN,1660414981
Mogadishu,2.0371,45.3438,76.24,83,61,16.15,SO,1660414508
Reyes,-14.3167,-67.3833,91.29,39,36,7.05,BO,1660414986
Iquitos,-3.7481,-73.2472,89.64,55,40,3.44,PE,1660414834
Meridian,43.6121,-116.3915,86.36,37,0,10.36,US,1660414991
Husavik,66.0449,-17.3389,49.15,78,88,9.04,IS,1660414993
Yaita,36.8,139.9333,71.89,92,55,0.54,JP,1660414997
Constitución,-35.3333,-72.4167,56.19,74,73,11.14,CL,1660414719
Bariloche,-41.1456,-71.3082,38.95,93,100,20.71,AR,1660414726
Kawalu,-7.3817,108.2082,71.37,98,88,0.49,ID,1660415003
Clarence Town,-32.5833,151.7833,52.86,71,57,7.72,AU,1660415006
Nishihara,26.1842,127.7558,82.06,89,40,8.05,JP,1660415008
Muroto-misakicho,33.2833,134.15,83.17,84,87,8.32,JP,1660415011
Wonosobo,-7.36,109.9025,67.6,95,94,0.54,ID,1660415013
Dārāb,28.7519,54.5444,86.52,11,1,16.53,IR,1660415015
Arlit,18.7369,7.3853,103.93,8,12,6.24,NE,1660415018
Monrovia,6.3005,-10.7969,80.37,77,93,10.69,LR,1660414908
College,64.8569,-147.8028,67.46,77,75,5.75,US,1660414894
Noumea,-22.2763,166.4572,72.0,99,98,8.7,NC,1660415025
Vitim,59.4511,112.5578,46.2,94,22,1.23,RU,1660415027
Kavieng,-2.5744,150.7967,80.4,75,100,8.12,PG,1660415029
Requena,39.4883,-1.1004,81.52,35,97,18.54,ES,1660415032
Tahe,52.3333,124.7333,52.25,95,56,2.84,CN,1660415034
Hay River,60.8156,-115.7999,76.98,41,22,2.3,CA,1660415036
São João da Barra,-21.6403,-41.0511,77.09,55,15,12.59,BR,1660414937
Lázaro Cárdenas,17.9583,-102.2,86.02,63,100,3.78,MX,1660414956
Sørland,67.667,12.6934,51.66,90,75,26.13,NO,1660415043
Clyde River,70.4692,-68.5914,43.03,93,75,16.11,CA,1660414867
Broken Hill,-31.95,141.4333,43.11,92,31,11.34,AU,1660415048
Muravlenko,63.7898,74.523,51.89,86,100,24.02,RU,1660415050
Shakawe,-18.3667,21.85,69.91,17,0,4.34,BW,1660415052
Kismayo,-0.3582,42.5454,75.38,83,91,16.06,SO,1660415055
Jojoima,7.8792,-10.7878,73.17,95,96,4.21,SL,1660415057
Alugan,12.2188,125.4808,78.49,85,100,3.09,PH,1660415060
Los Llanos de Aridane,28.6585,-17.9182,72.12,82,20,13.8,ES,1660415062
Yinchuan,38.4681,106.2731,78.57,70,99,4.23,CN,1660414952
Panabá,21.2833,-88.2667,93.04,44,53,5.73,MX,1660415066
Karratha,-20.7377,116.8463,69.69,71,18,2.57,AU,1660415069
Hulyaypole,47.6653,36.2578,82.72,24,42,10.78,UA,1660415071
Gizo Government Station,-8.103,156.8419,80.65,71,16,6.06,SB,1660415074
Argelia,2.2556,-77.2488,74.17,79,59,1.21,CO,1660415076
Mehamn,71.0357,27.8492,51.75,87,93,6.91,NO,1660415078
Zharkent,44.1628,80.0,70.86,32,0,3.91,KZ,1660415081
Doha,25.2867,51.5333,96.78,63,0,4.61,QA,1660415083
Philadelphia,39.9523,-75.1638,83.95,35,20,18.41,US,1660415002
Lüderitz,-26.6481,15.1594,55.35,80,95,9.24,NA,1660415088
Oruzgan,32.8333,66.0,77.27,41,99,3.78,AF,1660415090
Juneau,58.3019,-134.4197,64.4,90,75,19.57,US,1660414938
Otjimbingwe,-22.35,16.1333,64.24,23,0,9.53,NA,1660415094
Laguna,38.421,-121.4238,89.08,47,0,4.61,US,1660415097
Oddur,4.1213,43.8894,79.11,52,100,17.47,SO,1660415099
Yenotayevka,47.2456,47.0281,86.67,29,100,7.65,RU,1660415101
Lavrentiya,65.5833,-171.0,38.21,73,89,12.48,RU,1660415104
Baharly,38.4362,57.4316,84.45,18,0,4.88,TM,1660415106
Ust'-Omchug,61.15,149.6333,54.18,89,95,2.21,RU,1660415109
Keetmanshoop,-26.5833,18.1333,54.3,44,56,17.6,NA,1660415111
Aklavik,68.2191,-135.0107,70.23,44,69,2.89,CA,1660415113
Presidente Epitácio,-21.7633,-52.1156,84.22,20,7,4.05,BR,1660415116
Ericeira,38.9627,-9.4156,76.68,77,0,11.27,PT,1660415118
Omboué,-1.5746,9.2618,73.22,78,56,10.92,GA,1660415121
Sainte-Anne-des-Monts,49.124,-66.4924,64.27,77,95,0.0,CA,1660415117
Caravelas,-17.7125,-39.2481,74.66,57,100,10.58,BR,1660415125
Deputatsky,69.3,139.9,36.59,94,100,4.07,RU,1660415127
Bryan,30.6744,-96.37,99.7,42,75,14.97,US,1660414991
Pompéu,-19.2244,-44.9353,82.54,24,0,3.94,BR,1660415132
Jerantut,3.936,102.3626,74.57,95,83,0.16,MY,1660415134
Bambanglipuro,-7.95,110.2833,75.81,91,91,2.24,ID,1660415137
Pangnirtung,66.1451,-65.7125,50.0,87,100,0.0,CA,1660415139
Bozdar Wada,27.1828,68.636,81.5,77,99,5.41,PK,1660415141
Sechura,-5.5569,-80.8222,75.13,59,82,10.87,PE,1660415144
Plettenberg Bay,-34.0527,23.3716,52.9,73,21,4.97,ZA,1660415146
Coihueco,-36.6167,-71.8333,56.14,72,100,14.97,CL,1660415149
Alibag,18.6411,72.8792,80.67,89,83,14.97,IN,1660415151
Ambilobe,-13.2,49.05,69.55,64,14,6.49,MG,1660415153
Havelian,34.0536,73.1657,82.83,75,64,3.29,PK,1660415156
Smithers,54.7804,-127.1743,61.12,94,100,2.3,CA,1660415158
Sioux Lookout,50.1001,-91.917,77.07,61,40,6.91,CA,1660415160
Flinders,-34.5833,150.8552,53.19,71,77,5.99,AU,1660415163
Polson,47.6936,-114.1632,80.22,51,0,0.92,US,1660415165
Farafangana,-22.8167,47.8333,67.35,87,9,8.25,MG,1660415168
Kulu,39.0951,33.0799,82.74,26,7,5.26,TR,1660415170
Zhangye,38.9342,100.4517,73.24,52,96,5.28,CN,1660415172
Sztum,53.9208,19.0307,76.33,53,99,7.94,PL,1660415175
Ascension,30.2169,-90.9001,86.22,85,100,4.61,US,1660415177
San Cristobal,7.7669,-72.225,80.78,45,88,6.17,VE,1660415179
Beyneu,45.3167,55.2,92.32,17,14,4.56,KZ,1660415182
Salalah,17.0151,54.0924,75.29,100,100,9.22,OM,1660415045
Weligama,5.9667,80.4167,78.62,89,87,9.71,LK,1660415186
Pangody,65.85,74.4859,50.99,86,100,16.26,RU,1660415189
Comarapa,-17.9,-64.4833,69.89,43,45,8.61,BO,1660415191
Zaraza,9.3503,-65.3245,90.77,53,31,1.34,VE,1660415193
Posadas,-27.3671,-55.8961,76.98,41,75,9.22,AR,1660415196
Beaverlodge,55.2166,-119.4361,74.55,54,71,5.39,CA,1660415198
Dakoro,14.5106,6.765,90.07,43,97,6.93,NE,1660415200
Jieshi,22.8134,115.8257,82.83,79,15,5.23,CN,1660415203
Tartagal,-22.5164,-63.8013,84.07,23,24,6.69,AR,1660415205
Faya,18.3851,42.4509,69.91,49,99,9.37,SA,1660415207
Tepatepec,20.2333,-99.0833,77.0,38,43,9.17,MX,1660415210
La Santisima Trinidad,-14.8333,-64.9,91.38,43,20,13.8,BO,1660415212
Margate,51.3813,1.3862,81.1,58,4,3.0,GB,1660415215
Mattru,7.6244,-11.8332,76.26,84,95,4.76,SL,1660415217
Qaqortoq,60.7167,-46.0333,46.02,95,100,2.77,GL,1660415219
Stornoway,58.2093,-6.3865,58.96,90,81,8.05,GB,1660415222
Yumen,40.2833,97.2,79.32,34,96,10.38,CN,1660415224
Sakaiminato,35.55,133.2333,78.78,94,75,14.97,JP,1660415226
Kansk,56.2017,95.7175,53.11,64,44,5.55,RU,1660415229
Coffs Harbour,-30.3,153.1333,47.14,93,0,6.91,AU,1660415150
Hualmay,-11.0964,-77.6139,67.33,68,42,10.13,PE,1660415233
Fairfield,41.2668,-73.3162,78.8,48,75,8.05,US,1660415062
Mahébourg,-20.4081,57.7,68.29,77,75,12.66,MU,1660415238
Hvolsvollur,63.7533,-20.2243,50.68,71,95,7.76,IS,1660415240
Shenjiamen,29.9576,122.298,80.89,89,95,21.85,CN,1660415242
Pāsighāt,28.0667,95.3333,79.23,79,10,1.88,IN,1660415245
Kenai,60.5544,-151.2583,54.14,97,100,4.61,US,1660415247
La Asuncion,11.0333,-63.8628,87.53,66,64,12.66,VE,1660415250
Bandarbeyla,9.4942,50.8122,77.67,79,52,31.23,SO,1660415252
Mareeba,-17.0,145.4333,62.44,92,22,1.88,AU,1660415254
Lomovka,53.9194,58.3672,58.91,85,24,2.21,RU,1660415257
Nhulunbuy,-12.2333,136.7667,72.21,88,65,6.91,AU,1660415259
Mossamedes,-15.1961,12.1522,66.7,83,86,2.55,AO,1660415261
Bundaberg,-24.85,152.35,52.21,99,40,0.0,AU,1660415264
Ginir,7.1333,40.7,58.24,85,72,5.17,ET,1660415266
Camacupa,-12.0167,17.4833,67.66,16,34,4.92,AO,1660415268
Tyrma,50.0833,132.1667,54.88,98,90,0.34,RU,1660415271
Sept-Îles,50.2001,-66.3821,69.06,68,20,8.05,CA,1660415102
Hokitika,-42.7167,170.9667,41.34,81,19,6.62,NZ,1660415275
Kamaishi,39.2667,141.8833,74.35,96,98,5.21,JP,1660415277
Geraldton,-28.7667,114.6,52.21,93,100,9.22,AU,1660415280
Sampit,-2.5333,112.95,73.08,97,99,1.5,ID,1660415282
Tiznit Province,29.5833,-9.5,84.29,39,8,6.78,MA,1660415285
Cururupu,-1.8283,-44.8683,83.62,68,58,8.25,BR,1660415287
Bonfim,3.0833,-59.95,88.34,58,60,5.35,BR,1660415290
Jutaí,-5.1833,-68.9,95.52,36,30,3.0,BR,1660415292
Albacete,38.8333,-2.0,74.21,53,40,10.36,ES,1660415101
Zaterechnyy,44.7931,45.2097,80.13,42,0,16.15,RU,1660415297
Aquiraz,-3.9014,-38.3911,89.46,61,89,14.27,BR,1660415299
Umluj,25.0213,37.2685,87.69,58,28,7.76,SA,1660415301
Siilinjärvi,63.0833,27.6667,62.62,67,0,3.44,FI,1660415304
Chuzhou,32.3219,118.2978,85.01,62,100,4.27,CN,1660415307
Petropavlovka,50.6114,105.3196,58.17,90,100,2.57,RU,1660415309
Mayumba,-3.432,10.6554,71.6,79,100,5.88,GA,1660415311
Port Huron,42.9709,-82.4249,73.63,57,100,9.22,US,1660415301
Pokhara,28.2333,83.9833,75.7,87,95,2.73,NP,1660415316
Virginia Beach,36.8529,-75.978,85.05,47,20,14.97,US,1660415196
Muisne,0.6,-80.0333,75.85,84,97,10.85,EC,1660415320
Tacoronte,28.4769,-16.4102,76.41,65,40,19.57,ES,1660415323
Kāzerūn,29.6195,51.6541,90.25,16,0,5.3,IR,1660415326
Vredendal,-31.6683,18.5012,53.44,75,29,14.97,ZA,1660415329
Trelew,-43.249,-65.3051,60.96,39,100,28.9,AR,1660415215
Tiarei,-17.5333,-149.3333,77.02,78,24,15.35,PF,1660415333
Tumarbong,10.3766,119.4579,78.96,88,100,5.59,PH,1660415335
Ukiah,39.1502,-123.2078,91.36,38,0,0.0,US,1660415102
Tabou,4.423,-7.3528,77.72,77,61,12.53,CI,1660415340
Napanee,44.2501,-76.9494,80.44,29,0,1.32,CA,1660415109
Caxito,-8.5785,13.6643,70.79,77,100,4.09,AO,1660415344
Caucasia,7.9865,-75.1935,86.34,66,85,1.66,CO,1660415347
Eyl,7.9803,49.8164,77.86,77,65,27.56,SO,1660415349
Bell Ville,-32.6259,-62.6887,78.67,36,0,13.85,AR,1660415352
Soria,41.6667,-2.6667,73.11,45,100,21.65,ES,1660415354
Itabira,-19.6192,-43.2269,78.53,31,19,3.76,BR,1660415357
Zaprudnya,56.5667,37.4333,66.33,69,100,1.57,RU,1660415359
Polewali,-3.4324,119.3435,76.12,89,43,2.93,ID,1660415362
Macao,22.2006,113.5461,82.2,94,40,4.61,MO,1660415364
Cutervo,-6.379,-78.8157,67.82,39,23,7.61,PE,1660415367
Galveston,29.3669,-94.9669,91.51,76,20,19.57,US,1660415369
Tilichiki,60.4667,166.1,54.99,93,93,2.26,RU,1660415371
Upington,-28.4478,21.2561,53.98,37,0,8.05,ZA,1660415375
Santiago,-33.4569,-70.6483,68.54,39,8,5.75,CL,1660415213
Karak,31.1667,35.75,70.74,63,0,12.08,JO,1660415379
Subtanjalla,-14.0189,-75.7581,75.92,36,27,10.92,PE,1660415381
Xingyi,24.1877,102.817,60.8,97,1,2.24,CN,1660415384
Iwanai,42.9744,140.5089,64.45,79,95,2.13,JP,1660415387
San Vicente,-26.6167,-54.1333,71.24,46,100,4.47,AR,1660415390
Breyten,-26.3018,29.987,56.7,29,30,4.27,ZA,1660415392
Uberaba,-19.7483,-47.9319,84.78,20,0,4.61,BR,1660415351
Kedrovyy,56.1667,91.8167,57.87,87,87,2.84,RU,1660415396
Gunupur,19.0833,83.8167,76.1,97,100,1.61,IN,1660415399
Vanderhoof,54.0166,-124.0198,67.12,69,99,7.47,CA,1660415103
Cotonou,6.3654,2.4183,76.98,88,20,12.66,BJ,1660415403
Abapó,-18.8333,-63.4667,84.97,29,41,6.55,BO,1660415406
Gallup,35.5281,-108.7426,81.01,37,0,9.22,US,1660415170
Kenora,49.8167,-94.4337,77.97,50,20,4.61,CA,1660415410
